released,colour,year,age,sex,employed,citizen,checks
Yes,White,2002,21,Male,Yes,Yes,3
No,Black,1999,17,Male,Yes,Yes,3
Yes,White,2000,24,Male,Yes,Yes,3
No,Black,2000,46,Male,Yes,Yes,1
Yes,Black,1999,27,Female,Yes,Yes,1
Yes,Black,1998,16,Female,Yes,Yes,0
Yes,White,1999,40,Male,No,Yes,0
Yes,White,1998,34,Female,Yes,Yes,1
Yes,Black,2000,23,Male,Yes,Yes,4
Yes,White,2001,30,Male,Yes,Yes,3
Yes,White,1999,18,Male,Yes,No,0
Yes,White,2000,18,Male,Yes,Yes,3
Yes,White,2000,17,Male,Yes,Yes,1
Yes,Black,1997,42,Male,Yes,Yes,0
Yes,Black,1999,26,Male,No,Yes,2
Yes,White,2001,25,Male,No,Yes,3
No,White,2001,45,Male,No,Yes,4
No,White,2002,20,Male,Yes,Yes,5
Yes,White,2001,32,Female,No,Yes,3
No,White,1998,14,Male,Yes,Yes,0
Yes,White,1998,18,Male,Yes,No,0
Yes,White,2001,15,Male,No,Yes,2
Yes,White,2001,16,Male,Yes,Yes,0
No,White,2000,27,Female,No,Yes,3
Yes,White,2000,49,Male,Yes,Yes,0
Yes,White,2001,21,Male,No,Yes,3
Yes,Black,2001,29,Male,Yes,Yes,3
Yes,White,2000,28,Male,Yes,No,0
Yes,White,2000,19,Male,No,Yes,0
Yes,White,1999,28,Male,Yes,Yes,3
Yes,White,2000,19,Female,Yes,Yes,0
Yes,White,2001,30,Male,Yes,No,3
No,White,2001,15,Male,No,Yes,2
No,White,1999,35,Male,Yes,Yes,3
Yes,White,1998,20,Female,Yes,Yes,0
Yes,White,2001,22,Male,Yes,Yes,0
Yes,White,1998,16,Male,No,No,0
Yes,White,2000,24,Male,Yes,Yes,1
No,Black,2000,21,Male,No,No,4
No,White,1998,17,Male,Yes,No,0
Yes,White,2001,27,Male,No,Yes,2
Yes,Black,2001,18,Male,Yes,Yes,1
Yes,White,1997,39,Male,Yes,Yes,1
Yes,White,2001,17,Male,Yes,Yes,0
Yes,White,2001,22,Male,Yes,Yes,0
No,White,1997,21,Male,Yes,No,1
Yes,White,2000,20,Male,Yes,Yes,0
Yes,White,1999,17,Male,Yes,Yes,4
Yes,White,1997,26,Female,Yes,Yes,0
No,Black,2001,26,Male,Yes,Yes,4
Yes,Black,2000,20,Male,Yes,Yes,3
Yes,Black,2000,21,Male,Yes,No,3
Yes,White,1997,18,Male,Yes,Yes,4
Yes,White,2000,17,Female,Yes,Yes,0
Yes,White,2001,19,Male,Yes,No,3
Yes,White,2000,18,Male,Yes,Yes,0
Yes,White,2001,42,Male,Yes,Yes,3
Yes,Black,2001,19,Male,No,Yes,3
Yes,White,1998,25,Male,Yes,Yes,0
Yes,White,2000,17,Male,Yes,Yes,1
Yes,Black,2002,21,Male,Yes,Yes,1
Yes,White,1997,53,Male,Yes,No,3
Yes,Black,2000,19,Male,Yes,Yes,4
No,Black,1999,40,Male,Yes,No,2
Yes,White,2000,30,Male,No,No,3
Yes,White,1998,21,Male,Yes,Yes,0
No,White,1998,17,Male,Yes,Yes,1
